	25C	27C	29C	31C	33C	35C	37C	39C	41C	43C	45C
447	0.178528	0.171509	0.168762	0.167542	0.1651	0.163269	0.159607	0.160522	0.158691	0.157776	0.161743
448	0.175171	0.166321	0.16449	0.163574	0.162048	0.158691	0.15686	0.157166	0.157166	0.153503	0.158997
449	0.167847	0.160828	0.159607	0.158691	0.157166	0.155334	0.151978	0.152588	0.152588	0.149841	0.154724
450	0.164795	0.154724	0.155029	0.153809	0.152893	0.152283	0.148926	0.151367	0.150452	0.1474	0.154724
451	0.158997	0.151672	0.153198	0.149841	0.150146	0.148926	0.14679	0.148621	0.147705	0.145874	0.152588
452	0.15564	0.149231	0.14801	0.148621	0.1474	0.148315	0.147095	0.1474	0.146484	0.144348	0.150452
453	0.154419	0.148315	0.1474	0.146179	0.146179	0.144348	0.146179	0.145264	0.145874	0.143433	0.150146
454	0.153198	0.147705	0.14679	0.145569	0.14679	0.14801	0.144958	0.144958	0.145874	0.142517	0.147705
455	0.151367	0.144043	0.145569	0.145264	0.146179	0.145264	0.144348	0.144348	0.145569	0.142822	0.14801
456	0.152283	0.14679	0.1474	0.146179	0.14679	0.147705	0.144958	0.145569	0.145874	0.143433	0.149231
457	0.150146	0.146484	0.145569	0.146179	0.145264	0.14679	0.145569	0.145874	0.145264	0.144348	0.148926
458	0.151062	0.144958	0.146484	0.146179	0.147095	0.146484	0.145874	0.146179	0.145874	0.144043	0.151367
459	0.152893	0.145264	0.146179	0.146179	0.1474	0.14679	0.146179	0.145264	0.146179	0.145569	0.150146
460	0.152588	0.1474	0.145264	0.147705	0.148315	0.146179	0.146484	0.145874	0.147095	0.145264	0.149841
461	0.151062	0.146179	0.145874	0.148621	0.1474	0.147095	0.146179	0.147095	0.14679	0.144043	0.150146
462	0.152283	0.146484	0.14679	0.14801	0.1474	0.146484	0.148621	0.146179	0.147705	0.144653	0.150452
463	0.151978	0.14679	0.147095	0.145874	0.146179	0.147095	0.146484	0.146179	0.1474	0.145569	0.150757
464	0.154114	0.147095	0.147705	0.14679	0.149841	0.147095	0.1474	0.148315	0.148926	0.147095	0.151672
465	0.152588	0.1474	0.148315	0.1474	0.147705	0.14801	0.14801	0.1474	0.148621	0.146484	0.151978
466	0.154114	0.145874	0.14801	0.148315	0.14801	0.147705	0.1474	0.148315	0.14801	0.145264	0.150146
467	0.154419	0.1474	0.148926	0.149536	0.149231	0.1474	0.1474	0.14801	0.148621	0.145264	0.150146
468	0.154419	0.147705	0.147705	0.14801	0.149841	0.148315	0.149536	0.148315	0.14801	0.145874	0.151062
469	0.155029	0.14679	0.14801	0.148621	0.148621	0.148315	0.147705	0.14679	0.1474	0.145264	0.150757
470	0.152893	0.147705	0.1474	0.147095	0.1474	0.148621	0.14679	0.145264	0.14679	0.141907	0.150146
471	0.151062	0.144348	0.145874	0.145569	0.145874	0.144043	0.144958	0.144348	0.146179	0.142822	0.148621
472	0.151672	0.144348	0.145264	0.146484	0.145874	0.145874	0.144958	0.144653	0.145264	0.141602	0.148315
473	0.148621	0.143127	0.141907	0.143738	0.145569	0.142517	0.144043	0.143127	0.143738	0.141602	0.1474
474	0.14801	0.142517	0.141907	0.14221199999999998	0.142822	0.142822	0.141907	0.141907	0.141296	0.13915999999999998	0.144958
475	0.146484	0.14068599999999998	0.14221199999999998	0.140076	0.141296	0.141296	0.139771	0.139465	0.140076	0.137024	0.144043
476	0.143127	0.139465	0.137329	0.140991	0.140991	0.140381	0.139465	0.137939	0.138855	0.136414	0.141602
477	0.142517	0.136719	0.136414	0.13915999999999998	0.137939	0.137329	0.137939	0.137024	0.135498	0.13458299999999998	0.141602
478	0.14068599999999998	0.136719	0.135803	0.13610799999999998	0.136414	0.137024	0.136414	0.136414	0.13610799999999998	0.132446	0.137939
479	0.137939	0.132751	0.133972	0.13458299999999998	0.134888	0.13305699999999998	0.13305699999999998	0.13305699999999998	0.133972	0.130615	0.134888
480	0.138855	0.133972	0.13458299999999998	0.132446	0.13305699999999998	0.133667	0.131226	0.13183599999999998	0.132751	0.13000499999999998	0.135498
481	0.135193	0.1297	0.13030999999999998	0.129395	0.13030999999999998	0.129089	0.1297	0.130615	0.1297	0.127563	0.13153099999999998
482	0.132141	0.127563	0.128479	0.128479	0.128479	0.128479	0.12878399999999998	0.126953	0.12725799999999998	0.12481700000000001	0.13092
483	0.13153099999999998	0.12573199999999998	0.127869	0.126648	0.128174	0.126343	0.126343	0.126038	0.126648	0.125427	0.127869
